dpclk frequence address f3: 00030c01
ch\de	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e
c5	64768	64768	64768	64768	64768	7570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	1330	32526	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c6	64768	64768	64768	64768	64768	22723	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	5120	20888	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c7	64768	64768	64768	64768	64768	12525	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	206	9998	14325	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
dpclk frequence address f3: 00030e01
ch\de	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e
c0	64768	64768	64768	64768	64768	64768	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	478	11622	40711	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c1	64768	64768	64768	64768	64768	64768	11442	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	2116	32928	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c2	64768	64768	64768	64768	11682	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	31	2736	26619	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c3	64768	64768	64768	64768	64768	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	401	8825	39590	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c4	64768	64768	64768	64768	64768	3857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	4703	31794	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c5	64768	64768	64768	64768	64768	57365	342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	7941	24313	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c6	64768	64768	64768	64768	64768	64768	3073	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3158	21076	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c7	64768	64768	64768	64768	64768	10269	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	3082	24587	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
dpclk frequence address f3: 00030f01
ch\de	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e
c0	64768	64768	64768	64768	64768	64768	56039	54523	53026	55262	55233	52789	53528	54028	56524	55511	54538	56260	54482	53267	52748	56980	59728	59476	58261	57487	59983	59798	59637	49267	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c1	64768	64768	64768	64768	64768	62367	3599	1013	1265	1265	1265	1518	1518	1265	1012	1012	1518	1012	1771	1012	759	506	1012	1518	1012	1012	1771	1564	1589	11091	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c2	64768	64768	64768	64768	14916	791	803	533	306	536	255	14	774	539	1048	773	558	3	1308	2565	780	5	26	2703	13810	50508	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c3	64768	64768	64768	64768	64768	673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1299	12792	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c4	64768	64768	64768	64768	64768	6135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	662	16180	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c5	64768	64768	64768	64768	64768	64768	2000	759	769	256	506	763	518	1012	253	507	258	1012	1016	253	516	1271	759	1265	1024	358	10606	64359	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c6	64768	64768	64768	64768	64768	64768	2650	2	3	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	251	23185	64629	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
c7	64768	64768	64768	64768	64768	4706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	7501	55156	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768	64768
