dpclk frequence address f3: 00040c01
ch\de	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e
c4	2331648	2331648	2331648	2331648	2326678	1200363	1165867	937389	132035	2794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	748	31171	366653	797796	1026522	1055775	1373655	1690446	2287647	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c5	2331648	2331648	2331648	2229847	1258036	1165827	913207	557091	82689	1325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	720	31741	294414	357613	680528	973338	1204614	1836206	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c6	2331648	2331648	2331648	2331648	2331648	1218365	1165856	1028605	145994	4272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1162	36640	243455	783610	1053091	1240658	1414202	1959552	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c7	2331648	2331648	2331648	2331648	2331648	1426081	1177125	1165825	670731	186559	4251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	163	7920	105918	551266	1022643	1059727	1231073	1947800	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
dpclk frequence address f3: 00040e01
ch\de	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e
c0	2331648	2331648	2331648	2331648	2331648	1213984	1165842	1165824	517774	58185	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5515	98781	277482	758952	949269	1166099	1188299	1370541	1671434	2089686	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c1	2331648	2331648	2331648	2331648	2331648	1368920	1166296	1165824	1160249	166603	1740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3775	65176	428303	935134	1166163	1199794	1631043	2170957	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c2	2331648	2331648	2331648	2331648	2151091	1200799	1165867	1150103	412558	60418	3203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2039	77734	218512	598746	732088	1061129	1275156	1786548	2141617	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c3	2331648	2331648	2331648	2325530	1506824	1167233	1053751	519763	60140	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	22772	74925	426590	1054310	1165824	1166333	1316675	1572874	2132844	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
