dpclk frequence address f3: 00040c01
ch\de	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e
c0	2331648	2331648	2331648	2036055	1274469	1077745	930011	309980	17438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	582	18350	163423	799139	1033175	1165890	1176727	1354698	2199179	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c1	2331648	2331648	2331648	2331648	1706601	1218502	896917	467179	100890	12388	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	7687	52527	326768	542066	1058869	1182781	1361995	2032438	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c2	2331648	2331648	2331648	1394404	1167742	858325	75480	2558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	8782	134909	657135	1062814	1166289	1184118	1743753	2274069	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c3	2331648	2331648	2331648	853774	159717	2375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1384	44719	309275	886562	1714806	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c4	2331648	2331648	2331648	2331648	1636010	1166592	1165824	237725	3106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	6793	56658	391901	847886	1168885	1243338	1628938	2201390	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c5	2331648	2331648	2331648	1555733	1063020	377022	5149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	2336	27769	169248	415377	1054334	1184700	1438413	1974018	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c6	2331648	2331648	2331648	2331648	1645789	1174394	667783	70963	443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	9869	88674	551557	938890	1167212	1223066	1564175	2285591	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c7	2331648	2331648	2331648	2331648	1936631	1186094	1044243	807133	386437	203421	6757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	177	7952	87311	340112	624613	785012	1112693	1402538	2088616	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
dpclk frequence address f3: 00040d01
ch\de	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e
