dpclk frequence address f3: 00040c01
ch\de	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e
c0	2331648	2331648	2331648	2331648	1471319	1168077	1035217	572329	53982	647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	6438	143590	796993	939253	1166593	1181340	1500610	2192768	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c1	2331648	2331648	2331648	2331648	2150090	1271677	980396	675451	231345	15564	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	227	19085	152349	266492	888871	1052237	1174440	1363455	2176363	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c2	2331648	2331648	2331648	2095871	1262881	1165972	938831	207478	1581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	452	15652	134132	789583	1165824	1167345	1243677	1833646	2218712	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c3	2331648	2331648	2331648	1540732	1059434	262100	14234	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1088	41581	264158	724321	1176917	1735011	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c4	2331648	2331648	2331648	2331648	2107937	1180714	1165824	1075265	45169	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1258	54156	291048	803921	1179178	1381376	2016344	2323881	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c5	2331648	2331648	2331648	2279192	1253958	1165868	628018	46604	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	7896	69595	316704	922790	1132159	1222071	1462572	2086975	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c6	2331648	2331648	2331648	2331648	2226522	1233113	1165824	687142	49275	873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1490	49122	282220	913717	1166059	1178644	1512874	1923501	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c7	2331648	2331648	2331648	2331648	2226815	1238658	1165827	1076974	680829	371009	64149	381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	741	13756	105280	356994	765157	1031761	1189126	1659315	2131317	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
dpclk frequence address f3: 00040e01
ch\de	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e
c0	2331648	2331648	2331648	2331648	1862733	1182648	1077559	764490	113653	4818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	690	46551	151891	874416	1067453	1177517	1326213	1712719	2192873	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c1	2331648	2331648	2331648	2331648	2292610	1331888	1138596	765470	249339	28536	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	1469	15185	147856	231323	660343	1048262	1402016	2054725	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c2	2331648	2331648	2331648	2331648	1882648	1182873	1165825	1066549	115390	1059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	812	37993	123213	622040	1036010	1165852	1179220	1818346	2224526	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c3	2331648	2331648	2331648	2309705	1223389	1064092	263921	12375	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	441	12203	340868	711741	1193845	1503652	2152698	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c4	2331648	2331648	2331648	2331648	2331648	1211625	1165835	1165824	595099	9985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	12046	45358	474041	836604	1363320	1689620	2213067	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c5	2331648	2331648	2331648	2331648	1874665	1173368	1165824	816643	21913	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	5810	35077	297765	939750	1168245	1209881	1545715	2000673	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c6	2331648	2331648	2331648	2331648	2331648	1282919	1165863	1068335	409823	11230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	4375	75156	219871	576984	1061996	1167400	1214802	1536724	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c7	2331648	2331648	2331648	2331648	2331648	1278892	1166050	1165824	881594	532684	105941	3810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14435	223515	301772	399861	737616	953110	1203512	1721250	2211557	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
dpclk frequence address f3: 00040f01
ch\de	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e	d0-h0	d1-h2	d2-h4	d3-h6	d4-h8	d5-ha	d6-hc	d7-he	d8-h10	d9-h12	d10-h14	d11-h16	d12-h18	d13-h1a	d14-h1c	d15-h1e	d16-h20	d17-h22	d18-h24	d19-h26	d20-h28	d21-h2a	d22-h2c	d23-h2e	d24-h30	d25-h32	d26-h34	d27-h36	d28-h38	d29-h3a	d30-h3c	d31-h3e
c0	2331648	2331648	2331648	2331648	2147846	1200244	1165825	943072	178172	13826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	2295	33838	221773	916831	1088542	1165861	1171204	1293727	1880496	2095741	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c1	2331648	2331648	2331648	2331648	2235991	1329895	1174070	732218	260881	40729	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	1743	5918	46853	198366	824379	1431012	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c2	2331648	2331648	2331648	2331648	2225991	1207896	1165861	1163133	145261	2159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1514	77433	606771	983117	1165850	1166354	1181792	1476544	2191685	2291005	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c3	2331648	2331648	2331648	2331648	1316449	1165940	877108	83107	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	14235	195364	272699	860414	1201739	1870301	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c4	2331648	2331648	2331648	2331648	2331648	1277971	1166152	1165824	600048	19242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3123	39724	329890	789062	916073	1207476	1715816	2213231	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c5	2331648	2331648	2331648	2331648	2137390	1198648	1165825	1060244	107566	561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	4365	142084	329437	526510	1064279	1166208	1176175	1382855	1935338	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c6	2331648	2331648	2331648	2331648	2331648	1401219	1166714	1165420	498829	19337	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	10537	88750	431027	968059	1165450	1177471	1471324	1823162	2328386	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
c7	2331648	2331648	2331648	2331648	2331648	1280904	1166084	1165824	891948	575656	96997	3064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	9750	205885	494098	638670	805736	1081940	1701431	2208763	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648	2331648
