dpclk frequence address f3: 00040c01
ch\de   d0-h0   d1-h2   d2-h4   d3-h6   d4-h8   d5-ha   d6-hc   d7-he   d8-h10  d9-h12  d10-h14 d11-h16 d12-h18 d13-h1a d14-h1c d15-h1e d16-h20 d17-h22 d18-h24 d19-h26 d20-h28 d21-h2a d22-h2c d23-h2e d24-h30 d25-h32 d26-h34 d27-h36 d28-h38 d29-h3a d30-h3c d31-h3e d0-h0   d1-h2   d2-h4   d3-h6   d4-h8   d5-ha   d6-hc   d7-he   d8-h10  d9-h12  d10-h14 d11-h16 d12-h18 d13-h1a d14-h1c d15-h1e d16-h20 d17-h22 d18-h24 d19-h26 d20-h28 d21-h2a d22-h2c d23-h2e d24-h30 d25-h32 d26-h34 d27-h36 d28-h38 d29-h3a d30-h3c d31-h3e
c4	1036288	1036288	1036288	1036288	1036288	879817	635076	515526	160241	1104	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6017	4221	897828	213287	998779	1034328	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c5	1036288	1036288	1036288	1036288	1036288	524712	496062	146675	61063	656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3650	262	4558	21957	205913	948661	1036288	810436	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c6	1036288	1036288	1036288	1036288	1036288	1025568	765565	287113	194127	32971	881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2297	20	64411	78782	390930	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c7	1036288	1036288	1036288	1036288	1036288	876213	585516	395920	165663	1476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	354	39834	149256	717029	565403	1036288	861958	1003338	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
dpclk frequence address f3: 00040e01
ch\de   d0-h0   d1-h2   d2-h4   d3-h6   d4-h8   d5-ha   d6-hc   d7-he   d8-h10  d9-h12  d10-h14 d11-h16 d12-h18 d13-h1a d14-h1c d15-h1e d16-h20 d17-h22 d18-h24 d19-h26 d20-h28 d21-h2a d22-h2c d23-h2e d24-h30 d25-h32 d26-h34 d27-h36 d28-h38 d29-h3a d30-h3c d31-h3e d0-h0   d1-h2   d2-h4   d3-h6   d4-h8   d5-ha   d6-hc   d7-he   d8-h10  d9-h12  d10-h14 d11-h16 d12-h18 d13-h1a d14-h1c d15-h1e d16-h20 d17-h22 d18-h24 d19-h26 d20-h28 d21-h2a d22-h2c d23-h2e d24-h30 d25-h32 d26-h34 d27-h36 d28-h38 d29-h3a d30-h3c d31-h3e
c0	1036288	1036288	1036288	1036288	1036288	1036288	587834	521575	423536	335051	118257	41921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10128	157390	118572	466997	975516	728482	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c1	1036288	1036288	1036288	1036288	1036288	1036288	858726	567741	519644	469869	347857	32550	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	751	2162	570040	197082	1019489	1036119	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c2	1036288	1036288	1036288	1036288	836077	546407	432626	192313	73273	17425	3170	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	482	137885	152999	718403	1034448	824521	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
c3	1036288	1036288	1036288	1036288	1036288	776293	584706	431564	284406	69616	3649	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570	1092	924	312788	452036	1036288	1033354	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288	1036288
